Scenes,Models,Quantile,Sigma_Model,Sigma_Train,MinMatchCount,Match,TP,FP
scenes/h1.jpg,models/0.jpg,0.035,2.5,0.25,13,18,1,0
scenes/h1.jpg,models/1.jpg,0.035,2.5,0.25,13,22,0,1
scenes/h1.jpg,models/2.jpg,0.035,2.5,0.25,13,17,1,0
scenes/h1.jpg,models/2.jpg,0.035,2.5,0.25,13,24,1,0
scenes/h1.jpg,models/3.jpg,0.035,2.5,0.25,13,29,1,0
scenes/h1.jpg,models/3.jpg,0.035,2.5,0.25,13,23,1,0
scenes/h1.jpg,models/4.jpg,0.035,2.5,0.25,13,22,1,0
scenes/h1.jpg,models/5.jpg,0.035,2.5,0.25,13,15,1,0
scenes/h1.jpg,models/5.jpg,0.035,2.5,0.25,13,18,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.25,13,41,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.25,13,30,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.25,13,21,0,1
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.25,13,15,0,1
scenes/h1.jpg,models/8.jpg,0.035,2.5,0.25,13,16,1,0
scenes/h1.jpg,models/10.jpg,0.035,2.5,0.25,13,15,1,0
scenes/h1.jpg,models/11.jpg,0.035,2.5,0.25,13,16,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.25,13,32,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.25,13,29,1,0
scenes/h1.jpg,models/15.jpg,0.035,2.5,0.25,13,30,1,0
scenes/h1.jpg,models/18.jpg,0.035,2.5,0.25,13,43,1,0
scenes/h1.jpg,models/18.jpg,0.035,2.5,0.25,13,17,0,1
scenes/h1.jpg,models/19.jpg,0.035,2.5,0.25,13,34,1,0
scenes/h1.jpg,models/22.jpg,0.035,2.5,0.25,13,17,0,1
scenes/h1.jpg,models/0.jpg,0.035,2.5,0.25,14,18,1,0
scenes/h1.jpg,models/1.jpg,0.035,2.5,0.25,14,22,0,1
scenes/h1.jpg,models/2.jpg,0.035,2.5,0.25,14,17,1,0
scenes/h1.jpg,models/2.jpg,0.035,2.5,0.25,14,24,1,0
scenes/h1.jpg,models/3.jpg,0.035,2.5,0.25,14,29,1,0
scenes/h1.jpg,models/3.jpg,0.035,2.5,0.25,14,23,1,0
scenes/h1.jpg,models/4.jpg,0.035,2.5,0.25,14,22,1,0
scenes/h1.jpg,models/5.jpg,0.035,2.5,0.25,14,15,1,0
scenes/h1.jpg,models/5.jpg,0.035,2.5,0.25,14,18,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.25,14,41,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.25,14,30,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.25,14,21,0,1
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.25,14,15,0,1
scenes/h1.jpg,models/8.jpg,0.035,2.5,0.25,14,16,1,0
scenes/h1.jpg,models/10.jpg,0.035,2.5,0.25,14,15,1,0
scenes/h1.jpg,models/11.jpg,0.035,2.5,0.25,14,16,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.25,14,32,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.25,14,29,1,0
scenes/h1.jpg,models/15.jpg,0.035,2.5,0.25,14,30,1,0
scenes/h1.jpg,models/18.jpg,0.035,2.5,0.25,14,43,1,0
scenes/h1.jpg,models/18.jpg,0.035,2.5,0.25,14,17,0,1
scenes/h1.jpg,models/19.jpg,0.035,2.5,0.25,14,34,1,0
scenes/h1.jpg,models/22.jpg,0.035,2.5,0.25,14,17,0,1
scenes/h1.jpg,models/0.jpg,0.035,2.5,0.3,13,15,1,0
scenes/h1.jpg,models/1.jpg,0.035,2.5,0.3,13,25,1,0
scenes/h1.jpg,models/1.jpg,0.035,2.5,0.3,13,27,0,1
scenes/h1.jpg,models/2.jpg,0.035,2.5,0.3,13,24,1,0
scenes/h1.jpg,models/3.jpg,0.035,2.5,0.3,13,32,1,0
scenes/h1.jpg,models/3.jpg,0.035,2.5,0.3,13,22,1,0
scenes/h1.jpg,models/4.jpg,0.035,2.5,0.3,13,19,1,0
scenes/h1.jpg,models/5.jpg,0.035,2.5,0.3,13,15,1,0
scenes/h1.jpg,models/5.jpg,0.035,2.5,0.3,13,17,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.3,13,35,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.3,13,41,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.3,13,24,0,1
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.3,13,16,0,1
scenes/h1.jpg,models/8.jpg,0.035,2.5,0.3,13,17,1,0
scenes/h1.jpg,models/10.jpg,0.035,2.5,0.3,13,15,1,0
scenes/h1.jpg,models/11.jpg,0.035,2.5,0.3,13,18,0,1
scenes/h1.jpg,models/11.jpg,0.035,2.5,0.3,13,24,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.3,13,32,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.3,13,31,1,0
scenes/h1.jpg,models/15.jpg,0.035,2.5,0.3,13,32,1,0
scenes/h1.jpg,models/18.jpg,0.035,2.5,0.3,13,46,1,0
scenes/h1.jpg,models/18.jpg,0.035,2.5,0.3,13,17,0,1
scenes/h1.jpg,models/19.jpg,0.035,2.5,0.3,13,34,1,0
scenes/h1.jpg,models/22.jpg,0.035,2.5,0.3,13,16,0,1
scenes/h1.jpg,models/0.jpg,0.035,2.5,0.3,14,15,1,0
scenes/h1.jpg,models/1.jpg,0.035,2.5,0.3,14,25,1,0
scenes/h1.jpg,models/1.jpg,0.035,2.5,0.3,14,27,0,1
scenes/h1.jpg,models/2.jpg,0.035,2.5,0.3,14,24,1,0
scenes/h1.jpg,models/3.jpg,0.035,2.5,0.3,14,32,1,0
scenes/h1.jpg,models/3.jpg,0.035,2.5,0.3,14,22,1,0
scenes/h1.jpg,models/4.jpg,0.035,2.5,0.3,14,19,1,0
scenes/h1.jpg,models/5.jpg,0.035,2.5,0.3,14,15,1,0
scenes/h1.jpg,models/5.jpg,0.035,2.5,0.3,14,17,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.3,14,35,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.3,14,41,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.3,14,24,0,1
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.3,14,16,0,1
scenes/h1.jpg,models/8.jpg,0.035,2.5,0.3,14,17,1,0
scenes/h1.jpg,models/10.jpg,0.035,2.5,0.3,14,15,1,0
scenes/h1.jpg,models/11.jpg,0.035,2.5,0.3,14,18,0,1
scenes/h1.jpg,models/11.jpg,0.035,2.5,0.3,14,24,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.3,14,32,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.3,14,31,1,0
scenes/h1.jpg,models/15.jpg,0.035,2.5,0.3,14,32,1,0
scenes/h1.jpg,models/18.jpg,0.035,2.5,0.3,14,46,1,0
scenes/h1.jpg,models/18.jpg,0.035,2.5,0.3,14,17,0,1
scenes/h1.jpg,models/19.jpg,0.035,2.5,0.3,14,34,1,0
scenes/h1.jpg,models/22.jpg,0.035,2.5,0.3,14,16,0,1
scenes/h1.jpg,models/0.jpg,0.035,2.5,0.35,13,15,1,0
scenes/h1.jpg,models/1.jpg,0.035,2.5,0.35,13,19,1,0
scenes/h1.jpg,models/1.jpg,0.035,2.5,0.35,13,29,0,1
scenes/h1.jpg,models/2.jpg,0.035,2.5,0.35,13,21,1,0
scenes/h1.jpg,models/3.jpg,0.035,2.5,0.35,13,31,1,0
scenes/h1.jpg,models/3.jpg,0.035,2.5,0.35,13,23,1,0
scenes/h1.jpg,models/4.jpg,0.035,2.5,0.35,13,38,1,0
scenes/h1.jpg,models/4.jpg,0.035,2.5,0.35,13,40,1,0
scenes/h1.jpg,models/5.jpg,0.035,2.5,0.35,13,17,1,0
scenes/h1.jpg,models/5.jpg,0.035,2.5,0.35,13,17,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.35,13,29,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.35,13,44,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.35,13,27,0,1
scenes/h1.jpg,models/8.jpg,0.035,2.5,0.35,13,14,1,0
scenes/h1.jpg,models/11.jpg,0.035,2.5,0.35,13,27,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.35,13,25,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.35,13,14,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.35,13,24,1,0
scenes/h1.jpg,models/15.jpg,0.035,2.5,0.35,13,33,1,0
scenes/h1.jpg,models/18.jpg,0.035,2.5,0.35,13,45,1,0
scenes/h1.jpg,models/18.jpg,0.035,2.5,0.35,13,17,0,1
scenes/h1.jpg,models/19.jpg,0.035,2.5,0.35,13,34,1,0
scenes/h1.jpg,models/22.jpg,0.035,2.5,0.35,13,17,0,1
scenes/h1.jpg,models/0.jpg,0.035,2.5,0.35,14,15,1,0
scenes/h1.jpg,models/1.jpg,0.035,2.5,0.35,14,19,1,0
scenes/h1.jpg,models/1.jpg,0.035,2.5,0.35,14,29,0,1
scenes/h1.jpg,models/2.jpg,0.035,2.5,0.35,14,21,1,0
scenes/h1.jpg,models/3.jpg,0.035,2.5,0.35,14,31,1,0
scenes/h1.jpg,models/3.jpg,0.035,2.5,0.35,14,23,1,0
scenes/h1.jpg,models/4.jpg,0.035,2.5,0.35,14,38,1,0
scenes/h1.jpg,models/4.jpg,0.035,2.5,0.35,14,40,1,0
scenes/h1.jpg,models/5.jpg,0.035,2.5,0.35,14,17,1,0
scenes/h1.jpg,models/5.jpg,0.035,2.5,0.35,14,17,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.35,14,29,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.35,14,44,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.35,14,27,0,1
scenes/h1.jpg,models/11.jpg,0.035,2.5,0.35,14,27,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.35,14,25,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.35,14,24,1,0
scenes/h1.jpg,models/15.jpg,0.035,2.5,0.35,14,33,1,0
scenes/h1.jpg,models/18.jpg,0.035,2.5,0.35,14,45,1,0
scenes/h1.jpg,models/18.jpg,0.035,2.5,0.35,14,17,0,1
scenes/h1.jpg,models/19.jpg,0.035,2.5,0.35,14,34,1,0
scenes/h1.jpg,models/22.jpg,0.035,2.5,0.35,14,17,0,1
scenes/h1.jpg,models/0.jpg,0.035,2.5,0.4,13,17,1,0
scenes/h1.jpg,models/1.jpg,0.035,2.5,0.4,13,25,0,1
scenes/h1.jpg,models/1.jpg,0.035,2.5,0.4,13,20,1,0
scenes/h1.jpg,models/2.jpg,0.035,2.5,0.4,13,20,1,0
scenes/h1.jpg,models/3.jpg,0.035,2.5,0.4,13,34,1,0
scenes/h1.jpg,models/3.jpg,0.035,2.5,0.4,13,25,1,0
scenes/h1.jpg,models/4.jpg,0.035,2.5,0.4,13,22,1,0
scenes/h1.jpg,models/5.jpg,0.035,2.5,0.4,13,21,1,0
scenes/h1.jpg,models/5.jpg,0.035,2.5,0.4,13,23,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.4,13,30,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.4,13,45,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.4,13,16,0,1
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.4,13,20,0,1
scenes/h1.jpg,models/8.jpg,0.035,2.5,0.4,13,15,1,0
scenes/h1.jpg,models/11.jpg,0.035,2.5,0.4,13,26,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.4,13,25,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.4,13,15,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.4,13,22,1,0
scenes/h1.jpg,models/15.jpg,0.035,2.5,0.4,13,32,1,0
scenes/h1.jpg,models/18.jpg,0.035,2.5,0.4,13,17,0,1
scenes/h1.jpg,models/18.jpg,0.035,2.5,0.4,13,47,1,0
scenes/h1.jpg,models/19.jpg,0.035,2.5,0.4,13,40,1,0
scenes/h1.jpg,models/22.jpg,0.035,2.5,0.4,13,15,0,1
scenes/h1.jpg,models/0.jpg,0.035,2.5,0.4,14,17,1,0
scenes/h1.jpg,models/1.jpg,0.035,2.5,0.4,14,25,0,1
scenes/h1.jpg,models/1.jpg,0.035,2.5,0.4,14,20,1,0
scenes/h1.jpg,models/2.jpg,0.035,2.5,0.4,14,20,1,0
scenes/h1.jpg,models/3.jpg,0.035,2.5,0.4,14,34,1,0
scenes/h1.jpg,models/3.jpg,0.035,2.5,0.4,14,25,1,0
scenes/h1.jpg,models/4.jpg,0.035,2.5,0.4,14,22,1,0
scenes/h1.jpg,models/5.jpg,0.035,2.5,0.4,14,21,1,0
scenes/h1.jpg,models/5.jpg,0.035,2.5,0.4,14,23,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.4,14,30,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.4,14,45,1,0
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.4,14,16,0,1
scenes/h1.jpg,models/7.jpg,0.035,2.5,0.4,14,20,0,1
scenes/h1.jpg,models/8.jpg,0.035,2.5,0.4,14,15,1,0
