Quantile,Sigma_Model,Sigma_Train,MinMatchCount,Sum TP,Sum FP,Relationship
0.035,3.0,0.4,13.0,89.0,26.0,63.0
0.015,3.0,0.2,14.0,103.0,41.0,62.0
0.035,3.0,0.3,13.0,87.0,25.0,62.0
0.015,3.0,0.2,15.0,99.0,37.0,62.0
0.035,3.0,0.3,11.0,99.0,38.0,61.0
0.035,3.0,0.3,12.0,95.0,34.0,61.0
0.035,3.0,0.4,14.0,85.0,25.0,60.0
0.015,4.0,0.2,12.0,100.0,40.0,60.0
0.035,3.0,0.3,14.0,83.0,24.0,59.0
0.015,3.0,0.3,15.0,98.0,40.0,58.0
0.015,4.0,0.2,13.0,92.0,34.0,58.0
0.035,3.0,0.4,12.0,91.0,34.0,57.0
0.015,4.0,0.3,13.0,93.0,36.0,57.0
0.035,3.0,0.4,15.0,80.0,23.0,57.0
0.025,3.0,0.4,15.0,85.0,28.0,57.0
0.035,3.0,0.2,13.0,83.0,26.0,57.0
0.015,4.0,0.2,14.0,87.0,31.0,56.0
0.035,3.0,0.3,10.0,102.0,46.0,56.0
0.015,4.0,0.2,11.0,106.0,50.0,56.0
0.015,4.0,0.4,12.0,99.0,43.0,56.0
0.015,3.0,0.4,15.0,94.0,38.0,56.0
0.015,4.0,0.3,12.0,96.0,40.0,56.0
0.015,3.0,0.3,14.0,101.0,45.0,56.0
0.015,3.0,0.2,13.0,105.0,49.0,56.0
0.035,3.0,0.2,14.0,79.0,24.0,55.0
0.015,4.0,0.3,11.0,105.0,50.0,55.0
0.035,3.0,0.3,15.0,76.0,21.0,55.0
0.035,3.0,0.2,11.0,95.0,40.0,55.0
0.025,3.0,0.4,14.0,86.0,31.0,55.0
0.015,4.0,0.3,15.0,85.0,30.0,55.0
0.015,4.0,0.4,13.0,91.0,36.0,55.0
0.035,3.0,0.2,12.0,87.0,32.0,55.0
0.015,4.0,0.3,14.0,88.0,33.0,55.0
0.025,4.0,0.4,13.0,83.0,28.0,55.0
0.025,3.0,0.3,14.0,87.0,33.0,54.0
0.025,3.0,0.4,13.0,87.0,33.0,54.0
0.015,4.0,0.2,15.0,84.0,30.0,54.0
0.025,3.0,0.3,15.0,81.0,28.0,53.0
0.015,4.0,0.4,14.0,87.0,34.0,53.0
0.035,3.0,0.2,10.0,101.0,48.0,53.0
0.025,4.0,0.4,12.0,84.0,31.0,53.0
0.035,3.0,0.2,15.0,77.0,24.0,53.0
0.015,4.0,0.2,10.0,114.0,62.0,52.0
0.025,3.0,0.4,12.0,94.0,42.0,52.0
0.035,4.0,0.2,10.0,85.0,33.0,52.0
0.025,3.0,0.2,14.0,85.0,33.0,52.0
0.015,4.0,0.4,11.0,103.0,52.0,51.0
0.015,4.0,0.4,15.0,83.0,32.0,51.0
0.025,4.0,0.4,14.0,77.0,26.0,51.0
0.025,3.0,0.3,13.0,89.0,38.0,51.0
0.035,2.0,0.4,15.0,87.0,36.0,51.0
0.015,4.0,0.3,10.0,113.0,63.0,50.0
0.035,3.0,0.4,11.0,95.0,45.0,50.0
0.015,3.0,0.4,14.0,99.0,49.0,50.0
0.035,4.0,0.4,10.0,90.0,40.0,50.0
0.025,4.0,0.4,11.0,86.0,36.0,50.0
0.015,3.0,0.3,13.0,105.0,55.0,50.0
0.035,4.0,0.2,11.0,79.0,29.0,50.0
0.025,3.0,0.2,15.0,81.0,31.0,50.0
0.025,3.0,0.3,12.0,94.0,44.0,50.0
0.035,2.0,0.2,13.0,96.0,46.0,50.0
0.035,4.0,0.3,11.0,78.0,29.0,49.0
0.035,4.0,0.4,13.0,77.0,28.0,49.0
0.035,4.0,0.4,12.0,79.0,30.0,49.0
0.025,4.0,0.2,10.0,92.0,44.0,48.0
0.015,3.0,0.2,12.0,109.0,61.0,48.0
0.035,4.0,0.3,10.0,84.0,36.0,48.0
0.025,4.0,0.3,10.0,90.0,42.0,48.0
0.035,2.0,0.2,14.0,86.0,38.0,48.0
0.025,3.0,0.2,13.0,88.0,40.0,48.0
0.035,4.0,0.3,13.0,70.0,23.0,47.0
0.035,4.0,0.3,12.0,73.0,26.0,47.0
0.035,4.0,0.2,12.0,74.0,27.0,47.0
0.035,4.0,0.4,11.0,83.0,36.0,47.0
0.035,2.0,0.4,14.0,91.0,44.0,47.0
0.035,2.0,0.2,15.0,81.0,34.0,47.0
0.025,4.0,0.4,10.0,90.0,43.0,47.0
0.025,4.0,0.3,14.0,71.0,25.0,46.0
0.025,3.0,0.4,11.0,99.0,53.0,46.0
