Quantile,Sigma_Model,Sigma_Train,MinMatchCount,Sum TP,Sum FP,Relationship
0.035,2.5,0.4,14.0,91.0,27.0,64.0
0.035,3.0,0.4,13.0,89.0,26.0,63.0
0.035,3.0,0.3,13.0,87.0,25.0,62.0
0.035,2.5,0.3,13.0,95.0,34.0,61.0
0.035,2.5,0.3,14.0,92.0,32.0,60.0
0.035,2.5,0.4,13.0,91.0,31.0,60.0
0.035,3.0,0.4,14.0,85.0,25.0,60.0
0.035,3.0,0.3,14.0,83.0,24.0,59.0
0.035,3.0,0.25,13.0,83.0,26.0,57.0
0.035,2.5,0.25,13.0,92.0,37.0,55.0
0.035,3.0,0.25,14.0,79.0,24.0,55.0
0.035,2.5,0.35,14.0,83.0,30.0,53.0
0.035,2.5,0.35,13.0,87.0,34.0,53.0
0.035,3.5,0.4,14.0,78.0,25.0,53.0
0.035,3.0,0.35,13.0,81.0,29.0,52.0
0.035,3.0,0.35,14.0,79.0,27.0,52.0
0.035,3.5,0.3,13.0,79.0,27.0,52.0
0.035,3.5,0.3,14.0,74.0,25.0,49.0
0.035,3.5,0.4,13.0,79.0,30.0,49.0
0.035,2.5,0.25,14.0,83.0,35.0,48.0
0.035,3.5,0.35,14.0,74.0,26.0,48.0
0.035,3.5,0.25,13.0,78.0,31.0,47.0
0.035,3.5,0.25,14.0,72.0,25.0,47.0
0.035,3.5,0.35,13.0,77.0,32.0,45.0
